SAMPLE_DATE	DUP_CODE	SYS_LOC_CODE	GRADIENT	CHEMICAL_NAME	REPLICATE_CODE	REPORT_RESULT_UNIT	REPORT_RESULT_TEXT	COMPARISON_LEVEL	LAB_QUALIFIERS
2/4/2026		MW-05DR		Antimony		ug/L	-1		
2/4/2026		MW-05DR		Arsenic		ug/L	4.5		
2/4/2026		MW-05DR		Barium		ug/L	170		
2/4/2026		MW-05DR		Chromium		ug/L	-1		
2/4/2026		MW-05DR		Copper		ug/L	-1		
2/4/2026		MW-05DR		Iron		ug/L	2900		
2/4/2026		MW-05DR		Lead		ug/L	-1		
2/4/2026		MW-05DR		Manganese		ug/L	63		
2/4/2026		MW-05DR		Nickel		ug/L	-2		
2/4/2026		MW-05DR		Selenium		ug/L	-1		
2/4/2026		MW-05DR		Zinc		ug/L	-10		
1/20/2026		MW-03DR		Antimony		ug/L	-0.2		
1/20/2026		MW-03DR		Arsenic		ug/L	-1		
1/20/2026		MW-03DR		Barium		ug/L	170		
1/20/2026		MW-03DR		Chromium		ug/L	-0.8		
1/20/2026		MW-03DR		Copper		ug/L	-0.8		
1/20/2026		MW-03DR		Iron		ug/L	-20		
1/20/2026		MW-03DR		Lead		ug/L	-0.4		
1/20/2026		MW-03DR		Manganese		ug/L	90		
1/20/2026		MW-03DR		Nickel		ug/L	1.4		
1/20/2026		MW-03DR		Selenium		ug/L	-0.87		
1/20/2026		MW-03DR		Zinc		ug/L	12		
1/20/2026		MW-03SR		Antimony		ug/L	-0.2		
1/20/2026		MW-03SR		Arsenic		ug/L	11		
1/20/2026		MW-03SR		Barium		ug/L	140		
1/20/2026		MW-03SR		Chromium		ug/L	0.81		
1/20/2026		MW-03SR		Copper		ug/L	-0.8		
1/20/2026		MW-03SR		Iron		ug/L	-20		
1/20/2026		MW-03SR		Lead		ug/L	-0.4		
1/20/2026		MW-03SR		Manganese		ug/L	46		
1/20/2026		MW-03SR		Nickel		ug/L	0.93		
1/20/2026		MW-03SR		Selenium		ug/L	-0.87		
1/20/2026		MW-03SR		Zinc		ug/L	14		
10/16/2025		MW-05DR		Barium		ug/L	170		
10/14/2025		MW-03DR		Copper		ug/L	-0.8		
10/14/2025		MW-03DR		Manganese		ug/L	75		
10/14/2025		MW-03SR		Manganese		ug/L	36		
7/24/2025		MW-05DR		Antimony		ug/L	-1		
7/24/2025		MW-05DR		Arsenic		ug/L	4.8		
7/24/2025		MW-05DR		Barium		ug/L	170		
7/24/2025		MW-05DR		Chromium		ug/L	-1		
7/24/2025		MW-05DR		Copper		ug/L	-1		
7/24/2025		MW-05DR		Iron		ug/L	3000		
7/24/2025		MW-05DR		Lead		ug/L	-1		
